id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,pitch_var,weight_var
4XNrMwGx1SqP01sqkGTDmo,0.71,0.8,5,-3.439,0,0.0339,0.0563,0,0.0834,0.635,93.01,219467,4,10.19686187,0.020999998
1wAXODAAL6hY64ZdhrnjBO,0.759,0.849,1,-3.198,0,0.0317,0.000983,1.51E-05,0.0864,0.73,122.033,196627,4,15.50610579,0.136391453
3tyPOhuVnt5zd5kGfxbCyL,0.719,0.847,0,-6.34,0,0.0916,0.00201,0.0204,0.223,0.444,127.963,242680,4,14.30665207,0.022987882
77TT8Xvx637TpzV8kKGkUw,0.599,0.803,0,-3.641,0,0.0986,0.069,0.137,0.129,0.233,126.057,245041,4,14.74820307,0.063683118
05pKAafT85jeeNhZ6kq7HT,0.585,0.303,4,-10.058,1,0.0398,0.694,0,0.115,0.142,136.703,240166,3,11.04753469,0.066441663
4rMNgxEwGWoPHIUcvB5BrB,0.574,0.824,2,-6.885,1,0.0463,0.359,0,0.0816,0.434,149.981,257848,4,10.17935283,0.035198749
0171XsIM2xyeXRr6wsugEI,0.717,0.55,10,-6.019,0,0.0521,0.0358,0.00196,0.126,0.332,96.976,171333,4,14.04056521,0.020169773
4sK96UnGx3NjBaqvfTG2dm,0.579,0.731,11,-4.16,0,0.0452,0.0137,0,0.113,0.284,126.07,256560,4,10.73830145,0.055166893
1nZzRJbFvCEct3uzu04ZoL,0.678,0.918,5,-4.63,1,0.0355,0.000417,0,0.0744,0.769,130.028,216160,4,16.58229562,0.022684486
5HQVUIKwCEXpe7JIHyY734,0.715,0.655,0,-6.425,1,0.137,0.0525,0,0.115,0.531,95.078,207333,4,13.16093061,0.017466681
0zlD8JjDsFUUmofqPE83Cj,0.703,0.786,8,-2.243,1,0.0561,0.0666,0,0.553,0.475,127.954,199689,4,16.86385309,0.03162345
0pwYLVXVknPSGUQb39cePC,0.571,0.873,0,-3.382,0,0.0997,0.0807,0,0.361,0.613,139.691,229467,4,16.77625191,0.029674945
1kPpge9JDLpcj15qgrPbYX,0.559,0.882,3,-4.281,1,0.157,0.0314,1.71E-05,0.605,0.634,126.064,205933,4,14.50195799,0.038800437
3sP3c86WFjOzHHnbhhZcLA,0.643,0.695,6,-3.099,1,0.0463,0.236,0,0.145,0.65,123.026,205347,4,13.36940629,0.035299319
2KpCpk6HjXXLb7nnXoXA5O,0.757,0.882,1,-6.125,1,0.248,0.0763,0,0.251,0.684,140.047,219320,4,10.5427686,0.018390365
1CmUZGtH29Kx36C1Hleqlz,0.781,0.526,6,-6.985,0,0.293,0.0619,0,0.0457,0.662,94.992,235613,4,14.99970683,0.012184891
4G8gkOterJn0Ywt6uhqbhp,0.448,0.784,9,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136.245,186813,4,15.17189779,0.048946628
3bidbhpOYeV4knp8AIu8Xn,0.641,0.922,2,-4.457,1,0.0786,0.0291,0,0.0862,0.847,146.078,258343,4,9.553238412,0.014376482
4YMqbFcDIFiCBd02PzUBcM,0.781,0.526,6,-6.985,0,0.293,0.0619,0,0.0457,0.662,94.992,235613,4,14.99970683,0.012184891
2JZKXgq5zsokN01KWyiY6n,0.574,0.512,5,-6.664,0,0.0503,0.234,0,0.0946,0.512,76.899,484147,4,12.54881891,0.020924331
4VC5nFbYO4avKksJ9jN4pY,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,242733,4,12.52846103,0.10104894
6F5c58TMEs1byxUstkzVeM,0.554,0.772,7,-4.821,0,0.0418,0.00487,6.60E-06,0.354,0.455,179.984,223546,4,14.5237906,0.031734296
2eP6GhdRE1Ydnw2uXzo7q8,0.452,0.794,0,-5.151,1,0.0483,0.0111,0.00182,0.416,0.282,137.825,196664,4,12.60905542,0.024931711
0nJW01T7XtvILxQgC5J7Wh,0.612,0.28,0,-8.648,1,0.0434,0.932,0,0.088,0.387,72.795,213827,4,9.903058705,0.142083179
0i5el041vd6nxrGEU8QRxy,0.457,0.948,10,-3.364,1,0.0354,0.0191,0,0.0536,0.878,148,208960,4,9.101731579,0.092494413
3w3y8KPTfNeOKPiqUTakBh,0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994,233478,4,11.01664815,0.023165397
69kOkLUCkxIZYexIgSG8rq,0.81,0.793,6,-9.404,0,0.0403,0.0378,1.82E-06,0.072,0.863,116.049,369627,4,14.94074778,0.010610556
2dLLR6qlu5UJ5gk0dKz0h3,0.616,0.432,7,-9.546,1,0.133,0.106,0,0.132,0.302,84.778,190185,4,8.935205786,0.036965107
2y4lAQpi5VTNLu2ldeTdUH,0.613,0.622,1,-5.794,0,0.0334,0.00882,0,0.37,0.484,80.003,231240,4,12.30336695,0.035554145
2vwlzO0Qp8kfEtzTsCXfyE,0.53,0.422,5,-6.262,1,0.0342,0.407,0,0.107,0.349,119.964,221360,4,14.20427309,0.050766215
4h8VwCb1MTGoLKueQ1WgbD,0.518,0.784,2,-5.659,1,0.0524,0.00346,0.00187,0.171,0.588,124.102,247427,4,13.48698125,0.062089765
6dEnpbXyamib2EJnRhTt0G,0.795,0.596,11,-3.799,0,0.219,0.103,0,0.164,0.357,101.985,326280,4,12.60302969,0.013296058
37jTPJgwCCmIGMPB45jrPV,0.685,0.539,2,-6.964,0,0.0908,0.0635,8.12E-06,0.249,0.157,145.075,338413,4,9.742800036,0.021674612
60wwxj6Dd9NJlirf84wr2c,0.509,0.781,8,-3.48,1,0.072,0.0398,0,0.0749,0.176,128,271427,4,13.87622162,0.053254558
2iJuuzV8P9Yz0VSurttIV5,0.772,0.685,5,-6.849,1,0.0696,0.019,8.96E-05,0.131,0.501,130.033,283400,4,13.43828359,0.016952867
043bfUkTydw0xJ5JjOT91w,0.632,0.88,2,-4.051,1,0.0463,0.0144,0.0021,0.118,0.338,129.007,403493,4,14.292241,0.031134486
7Kt59L2ZZGtOnIhvMwzG6f,0.555,0.709,11,-4.928,0,0.0452,0.00118,0,0.113,0.387,91.982,225147,4,13.45850322,0.038984608
6Z8R6UsFuGXGtiIxiD8ISb,0.656,0.821,0,-4.838,1,0.0325,0.000194,0.00232,0.101,0.791,117.948,192790,5,15.98731997,0.025757257
55h7vJchibLdUkxdlX3fK7,0.874,0.692,5,-5.28,0,0.0431,0.0412,7.24E-05,0.324,0.937,116.017,178560,4,13.30236386,0.01323069
3VZQshi4COChhXaz7cLP02,0.714,0.905,8,-2.663,1,0.0289,0.00855,2.55E-05,0.146,0.838,125.927,155337,4,13.16405279,0.022825844
6V2D8Lls36APk0THDjBDfE,0.794,0.522,8,-7.829,1,0.159,0.0328,0,0.156,0.567,86.318,174133,4,13.41496644,0.014549027
06EL94D0TA27Ik0Ke5usbj,0.644,0.879,5,-3.179,0,0.147,0.325,0,0.0742,0.83,82.518,227027,4,11.1501434,0.026722696
6LoQHIo74tOzQ8EsLEkhgF,0.546,0.787,7,-4.1,0,0.0517,0.0101,0.00021,0.0809,0.573,79.979,231987,4,15.44427357,0.0234251
6TwfdLbaxTKzQi3AgsZNzx,0.657,0.679,2,-5.511,1,0.0269,0.00246,0,0.211,0.331,120.007,225307,4,10.07226164,0.021370537
14Rcq31SafFBHNEwXrtR2B,0.776,0.413,6,-7.438,0,0.0952,0.00415,2.68E-05,0.0724,0.287,100.003,227880,4,14.52154158,0.033741266
0Hf4aIJpsN4Os2f0y0VqWl,0.673,0.758,7,-3.632,1,0.158,0.039,0,0.341,0.542,135.956,229507,4,13.7404708,0.014293194
